Id,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV
03134424323513,0.0,3.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,5.0,1.0,3.0
03134424323514,0.0,3.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,5.0,1.0,4.0
06066250245232,0.0,6.0,0.0,6.0,6.0,2.0,5.0,0.0,2.0,4.0,5.0,2.0,3.0,2.0
06066250245233,0.0,6.0,0.0,6.0,6.0,2.0,5.0,0.0,2.0,4.0,5.0,2.0,3.0,3.0
07147012154540,0.0,7.0,1.0,4.0,7.0,0.0,1.0,2.0,1.0,5.0,4.0,5.0,4.0,0.0
12124433333233,1.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
12124433333235,1.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0
15355224343434,1.0,5.0,3.0,5.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
16346231154422,1.0,6.0,3.0,4.0,6.0,2.0,3.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0
16346231154423,1.0,6.0,3.0,4.0,6.0,2.0,3.0,1.0,1.0,5.0,4.0,4.0,2.0,3.0
22104423332323,2.0,2.0,1.0,0.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0
22104423332324,2.0,2.0,1.0,0.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0
22104423332325,2.0,2.0,1.0,0.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0
24335333332333,2.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
24335333332334,2.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0
25436223442341,2.0,5.0,4.0,3.0,6.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0
25436223442342,2.0,5.0,4.0,3.0,6.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0
25436223442343,2.0,5.0,4.0,3.0,6.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0
31313514211206,3.0,1.0,3.0,1.0,3.0,5.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,6.0
32475343344333,3.0,2.0,4.0,7.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0
32475343344334,3.0,2.0,4.0,7.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0
33245335422421,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,2.0,1.0
33245335422423,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,2.0,3.0
40253523101106,4.0,0.0,2.0,5.0,3.0,5.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,6.0
40253523101107,4.0,0.0,2.0,5.0,3.0,5.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,7.0
41133452015115,4.0,1.0,1.0,3.0,3.0,4.0,5.0,2.0,0.0,1.0,5.0,1.0,1.0,5.0
41133452015116,4.0,1.0,1.0,3.0,3.0,4.0,5.0,2.0,0.0,1.0,5.0,1.0,1.0,6.0
