Tire,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV,Image
Standard,2,4,2,5,4,2,3,2,3,3,3,3,3,4,https://mario.wiki.gallery/images/thumb/a/a8/StandardTiresMK8.png/150px-StandardTiresMK8.png
Monster,4,2,3,7,3,3,2,2,1,0,1,0,1,6,https://mario.wiki.gallery/images/thumb/2/29/MonsterTiresMK8.png/150px-MonsterTiresMK8.png
Roller,0,6,0,4,6,0,3,0,3,4,4,4,4,0,https://mario.wiki.gallery/images/thumb/7/76/RollerTiresMK8.png/150px-RollerTiresMK8.png
Slim,2,2,4,1,3,3,2,4,2,4,4,3,4,5,https://mario.wiki.gallery/images/thumb/f/f8/SlimTiresMK8.png/150px-SlimTiresMK8.png
Slick,3,1,4,0,2,4,0,4,0,2,0,2,1,5,https://mario.wiki.gallery/images/thumb/d/dd/SlickTiresMK8.png/150px-SlickTiresMK8.png
Metal,4,0,1,2,2,4,3,1,2,2,2,1,0,6,https://mario.wiki.gallery/images/thumb/9/96/MetalTiresMK8.png/150px-MetalTiresMK8.png
Button,0,5,1,3,5,1,2,2,2,3,3,4,2,3,https://mario.wiki.gallery/images/thumb/0/07/ButtonTiresMK8.png/150px-ButtonTiresMK8.png
Off-Road,3,3,3,6,3,3,4,2,1,1,1,2,2,6,https://mario.wiki.gallery/images/thumb/2/25/Off-Road.png/150px-Off-Road.png
Sponge,1,4,2,6,5,1,1,1,4,2,1,2,3,4,https://mario.wiki.gallery/images/thumb/4/4c/SpongeTiresMK8.png/150px-SpongeTiresMK8.png
Wood,2,2,4,1,3,3,2,4,2,4,4,3,4,5,https://mario.wiki.gallery/images/thumb/0/03/WoodTiresMK8.png/150px-WoodTiresMK8.png
Cushion,1,4,2,6,5,1,1,1,4,2,1,2,3,6,https://mario.wiki.gallery/images/thumb/9/92/CushionTiresMK8.png/150px-CushionTiresMK8.png
Blue Standard,2,4,2,5,4,2,3,2,3,3,3,3,3,4,https://mario.wiki.gallery/images/thumb/d/db/Blue_Standard.png/150px-Blue_Standard.png
Hot Monster,4,2,3,7,3,3,2,2,1,0,1,0,1,6,https://mario.wiki.gallery/images/thumb/d/d1/HotMonsterTiresMK8.png/150px-HotMonsterTiresMK8.png
Azure Roller,0,6,0,4,6,0,3,0,3,4,4,4,4,0,https://mario.wiki.gallery/images/thumb/f/fe/AzureRollerTiresMK8.png/150px-AzureRollerTiresMK8.png
Crimson Slim,2,2,4,1,3,3,2,4,2,4,4,3,4,5,https://mario.wiki.gallery/images/thumb/7/71/CrimsonSlimTiresMK8.png/150px-CrimsonSlimTiresMK8.png
Cyber Slick,3,1,4,0,2,4,0,4,0,2,0,2,1,5,https://mario.wiki.gallery/images/thumb/2/29/CyberSlickTiresMK8.png/150px-CyberSlickTiresMK8.png
Retro Off-Road,3,3,3,6,3,3,4,2,1,1,1,2,2,6,https://mario.wiki.gallery/images/thumb/4/48/Retro_Off-Road.png/150px-Retro_Off-Road.png
Gold Tires,4,0,1,2,2,4,3,1,2,2,2,1,0,5,https://mario.wiki.gallery/images/thumb/5/52/Gold_Tires_MK8.png/150px-Gold_Tires_MK8.png
GLA Tires,2,4,2,5,4,2,3,2,3,3,3,3,3,5,https://mario.wiki.gallery/images/thumb/b/ba/GLATires-MK8.png/150px-GLATires-MK8.png
Triforce Tires,3,3,3,6,3,3,4,2,1,1,1,2,2,5,https://mario.wiki.gallery/images/thumb/9/9d/MK8-TriforceTires.png/150px-MK8-TriforceTires.png
Leaf Tires,0,5,1,3,5,1,2,2,2,3,3,4,2,3,https://mario.wiki.gallery/images/thumb/f/f9/Leaf_Tires_MK8.png/150px-Leaf_Tires_MK8.png
Ancient Tires,4,2,3,7,3,3,2,2,1,0,1,0,1,5,https://mario.wiki.gallery/images/thumb/d/d5/MK8D_Ancient_Tires.png/150px-MK8D_Ancient_Tires.png
