Id,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV
05135122233423,0.0,5.0,1.0,3.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0
06046030344440,0.0,6.0,0.0,4.0,6.0,0.0,3.0,0.0,3.0,4.0,4.0,4.0,4.0,0.0
14265111421234,1.0,4.0,2.0,6.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,4.0
14265111421236,1.0,4.0,2.0,6.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,6.0
22413324244345,2.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0
24254232333334,2.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0
24254232333335,2.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0
31402404020215,3.0,1.0,4.0,0.0,2.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,5.0
33363342111225,3.0,3.0,3.0,6.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0
33363342111226,3.0,3.0,3.0,6.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0
40122431222105,4.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,5.0
40122431222106,4.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,6.0
42373322101015,4.0,2.0,3.0,7.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,5.0
42373322101016,4.0,2.0,3.0,7.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,6.0
