,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV,Total,driver,kart,tire,glider
0146121666871616201512,0.0,14.0,6.0,12.0,16.0,6.0,6.0,8.0,7.0,16.0,16.0,20.0,15,12,154.0,43551111101010106,3134424323513,5135122233423,2112011110120
1136121576781616201413,1.0,13.0,6.0,12.0,15.0,7.0,6.0,7.0,8.0,16.0,16.0,20.0,14,13,154.0,43551111101010106,3134424323513,5135122233423,11111110210111
1147111665871617191512,1.0,14.0,7.0,11.0,16.0,6.0,5.0,8.0,7.0,16.0,17.0,19.0,15,12,154.0,43551111101010106,3134424323513,5135122233423,12202001111020
2137111575881617191413,2.0,13.0,7.0,11.0,15.0,7.0,5.0,8.0,8.0,16.0,17.0,19.0,14,13,155.0,43551111101010106,3134424323513,5135122233423,21201101211011
015513175768171720179,0.0,15.0,5.0,13.0,17.0,5.0,7.0,6.0,8.0,17.0,17.0,20.0,17,9,156.0,43551111101010106,3134424323513,6046030344440,2112011110120
1145131667591717201610,1.0,14.0,5.0,13.0,16.0,6.0,7.0,5.0,9.0,17.0,17.0,20.0,16,10,156.0,43551111101010106,3134424323513,6046030344440,11111110210111
115612175668171819179,1.0,15.0,6.0,12.0,17.0,5.0,6.0,6.0,8.0,17.0,18.0,19.0,17,9,156.0,43551111101010106,3134424323513,6046030344440,12202001111020
2146121666691718191610,2.0,14.0,6.0,12.0,16.0,6.0,6.0,6.0,9.0,17.0,18.0,19.0,16,10,157.0,43551111101010106,3134424323513,6046030344440,21201101211011
1137151665791514181613,1.0,13.0,7.0,15.0,16.0,6.0,5.0,7.0,9.0,15.0,14.0,18.0,16,13,155.0,43551111101010106,3134424323513,14265111421234,2112011110120
21271515756101514181514,2.0,12.0,7.0,15.0,15.0,7.0,5.0,6.0,10.0,15.0,14.0,18.0,15,14,155.0,43551111101010106,3134424323513,14265111421234,11111110210111
2138141664791515171613,2.0,13.0,8.0,14.0,16.0,6.0,4.0,7.0,9.0,15.0,15.0,17.0,16,13,155.0,43551111101010106,3134424323513,14265111421234,12202001111020
31281415747101515171514,3.0,12.0,8.0,14.0,15.0,7.0,4.0,7.0,10.0,15.0,15.0,17.0,15,14,156.0,43551111101010106,3134424323513,14265111421234,21201101211011
1137151665791514181615,1.0,13.0,7.0,15.0,16.0,6.0,5.0,7.0,9.0,15.0,14.0,18.0,16,15,157.0,43551111101010106,3134424323513,14265111421236,2112011110120
21271515756101514181516,2.0,12.0,7.0,15.0,15.0,7.0,5.0,6.0,10.0,15.0,14.0,18.0,15,16,157.0,43551111101010106,3134424323513,14265111421236,11111110210111
2138141664791515171615,2.0,13.0,8.0,14.0,16.0,6.0,4.0,7.0,9.0,15.0,15.0,17.0,16,15,157.0,43551111101010106,3134424323513,14265111421236,12202001111020
31281415747101515171516,3.0,12.0,8.0,14.0,15.0,7.0,4.0,7.0,10.0,15.0,15.0,17.0,15,16,158.0,43551111101010106,3134424323513,14265111421236,21201101211011
21191014861071717191714,2.0,11.0,9.0,10.0,14.0,8.0,6.0,10.0,7.0,17.0,17.0,19.0,17,14,161.0,43551111101010106,3134424323513,22413324244345,2112011110120
3109101396981717191615,3.0,10.0,9.0,10.0,13.0,9.0,6.0,9.0,8.0,17.0,17.0,19.0,16,15,161.0,43551111101010106,3134424323513,22413324244345,11111110210111
31110914851071718181714,3.0,11.0,10.0,9.0,14.0,8.0,5.0,10.0,7.0,17.0,18.0,18.0,17,14,161.0,43551111101010106,3134424323513,22413324244345,12202001111020
41010913951081718181615,4.0,10.0,10.0,9.0,13.0,9.0,5.0,10.0,8.0,17.0,18.0,18.0,16,15,162.0,43551111101010106,3134424323513,22413324244345,21201101211011
2137141577881616191613,2.0,13.0,7.0,14.0,15.0,7.0,7.0,8.0,8.0,16.0,16.0,19.0,16,13,161.0,43551111101010106,3134424323513,24254232333334,2112011110120
3127141487791616191514,3.0,12.0,7.0,14.0,14.0,8.0,7.0,7.0,9.0,16.0,16.0,19.0,15,14,161.0,43551111101010106,3134424323513,24254232333334,11111110210111
3138131576881617181613,3.0,13.0,8.0,13.0,15.0,7.0,6.0,8.0,8.0,16.0,17.0,18.0,16,13,161.0,43551111101010106,3134424323513,24254232333334,12202001111020
4128131486891617181514,4.0,12.0,8.0,13.0,14.0,8.0,6.0,8.0,9.0,16.0,17.0,18.0,15,14,162.0,43551111101010106,3134424323513,24254232333334,21201101211011
2137141577881616191614,2.0,13.0,7.0,14.0,15.0,7.0,7.0,8.0,8.0,16.0,16.0,19.0,16,14,162.0,43551111101010106,3134424323514,24254232333334,2112011110120
3127141487791616191515,3.0,12.0,7.0,14.0,14.0,8.0,7.0,7.0,9.0,16.0,16.0,19.0,15,15,162.0,43551111101010106,3134424323514,24254232333334,11111110210111
3138131576881617181614,3.0,13.0,8.0,13.0,15.0,7.0,6.0,8.0,8.0,16.0,17.0,18.0,16,14,162.0,43551111101010106,3134424323514,24254232333334,12202001111020
4128131486891617181515,4.0,12.0,8.0,13.0,14.0,8.0,6.0,8.0,9.0,16.0,17.0,18.0,15,15,163.0,43551111101010106,3134424323514,24254232333334,21201101211011
3109913941051513181414,3.0,10.0,9.0,9.0,13.0,9.0,4.0,10.0,5.0,15.0,13.0,18.0,14,14,146.0,43551111101010106,3134424323513,31402404020215,2112011110120
499912104961513181315,4.0,9.0,9.0,9.0,12.0,10.0,4.0,9.0,6.0,15.0,13.0,18.0,13,15,146.0,43551111101010106,3134424323513,31402404020215,11111110210111
41010813931051514171414,4.0,10.0,10.0,8.0,13.0,9.0,3.0,10.0,5.0,15.0,14.0,17.0,14,14,146.0,43551111101010106,3134424323513,31402404020215,12202001111020
59108121031061514171315,5.0,9.0,10.0,8.0,12.0,10.0,3.0,10.0,6.0,15.0,14.0,17.0,13,15,147.0,43551111101010106,3134424323513,31402404020215,21201101211011
3128151488861414181514,3.0,12.0,8.0,15.0,14.0,8.0,8.0,8.0,6.0,14.0,14.0,18.0,15,14,157.0,43551111101010106,3134424323513,33363342111225,2112011110120
4118151398771414181415,4.0,11.0,8.0,15.0,13.0,9.0,8.0,7.0,7.0,14.0,14.0,18.0,14,15,157.0,43551111101010106,3134424323513,33363342111225,11111110210111
